SEASON,TEAM_NAME,TEAM_ID,Wins,ORTG,DRTG,eFG_Percent,TS_Percent,TOV_Percent,FG3_Percent,FG_Percent,Team_3s_Attempted,Team_2s_Attempted,Weighted_Avg_Height_x,Weighted_Avg_Wingspan_x,Weighted_Avg_Height_y,Weighted_Avg_Wingspan_y
2024-25,Atlanta Hawks,1610612737,40,113.7,114.8,0.546,0.579,0.149,0.358,0.472,3089,4439,78.19908394851781,82.26055373315492,78.19908394851781,82.26055373315492
2024-25,Boston Celtics,1610612738,61,119.5,110.1,0.561,0.591,0.122,0.368,0.462,3955,3427,78.35743293743134,82.24150275516648,78.35743293743134,82.24150275516648
2024-25,Brooklyn Nets,1610612751,26,108.1,115.4,0.516,0.552,0.156,0.344,0.437,3232,3828,78.5392848937045,82.4264752361939,78.5392848937045,82.4264752361939
2024-25,Charlotte Hornets,1610612766,19,106.7,115.7,0.503,0.537,0.157,0.339,0.43,3143,4165,78.47589624602796,82.66201874765568,78.47589624602796,82.66201874765568
2024-25,Chicago Bulls,1610612741,39,113.2,114.8,0.553,0.585,0.141,0.367,0.47,3447,4098,78.45182629328902,82.02935415140783,78.45182629328902,82.02935415140783
2024-25,Cleveland Cavaliers,1610612739,64,121.0,111.8,0.578,0.607,0.131,0.383,0.491,3401,4043,77.47771566840548,82.07154837066165,77.47771566840548,82.07154837066165
2024-25,Dallas Mavericks,1610612742,39,113.7,115.0,0.549,0.583,0.14,0.364,0.479,2801,4393,77.97327024479249,83.19883065535186,77.97327024479249,83.19883065535186
2024-25,Denver Nuggets,1610612743,50,118.9,115.1,0.573,0.604,0.14,0.376,0.506,2619,4741,78.77930960764073,82.3864514140179,78.77930960764073,82.3864514140179
2024-25,Detroit Pistons,1610612765,44,114.6,112.5,0.547,0.58,0.147,0.362,0.476,2901,4462,77.37391296711496,82.79502396700916,77.37391296711496,82.79502396700916
2024-25,Golden State Warriors,1610612744,48,114.2,111.0,0.536,0.568,0.141,0.364,0.451,3475,3937,76.8214927727421,81.454977997359,76.8214927727421,81.454977997359
2024-25,Houston Rockets,1610612745,52,114.9,110.3,0.523,0.553,0.14,0.353,0.455,2938,4721,77.71361833763646,81.41402210709997,77.71361833763646,81.41402210709997
2024-25,Indiana Pacers,1610612754,50,115.4,113.3,0.562,0.594,0.13,0.368,0.488,2934,4392,78.06411487411536,82.81154621679626,78.06411487411536,82.81154621679626
2024-25,LA Clippers,1610612746,50,114.3,109.4,0.554,0.589,0.151,0.373,0.482,2738,4337,78.22666158091106,83.53335116119563,78.22666158091106,83.53335116119563
2024-25,Los Angeles Lakers,1610612747,50,115.0,113.8,0.557,0.593,0.142,0.366,0.479,2981,4026,78.99233580859105,83.37710615676983,78.99233580859105,83.37710615676983
2024-25,Memphis Grizzlies,1610612763,48,117.2,112.6,0.554,0.588,0.151,0.367,0.479,3106,4548,79.41348987332826,82.08897173118052,79.41348987332826,82.08897173118052
2024-25,Miami Heat,1610612748,37,112.4,112.0,0.544,0.576,0.138,0.367,0.465,3060,4078,77.73556750132813,82.12315768405202,77.73556750132813,82.12315768405202
2024-25,Milwaukee Bucks,1610612749,48,115.1,112.7,0.568,0.598,0.133,0.387,0.486,3003,4079,79.1445682746467,83.60156652226928,79.1445682746467,83.60156652226928
2024-25,Minnesota Timberwolves,1610612750,49,115.7,110.8,0.554,0.588,0.146,0.377,0.468,3269,3913,78.08488432575504,83.13204865309748,78.08488432575504,83.13204865309748
2024-25,New Orleans Pelicans,1610612740,21,109.7,119.1,0.519,0.552,0.146,0.347,0.452,2839,4529,77.7993558897789,81.54389311465734,77.7993558897789,81.54389311465734
2024-25,New York Knicks,1610612752,51,117.3,113.3,0.556,0.589,0.134,0.369,0.486,2794,4521,76.88880241750984,82.41362457469097,76.88880241750984,82.41362457469097
2024-25,Oklahoma City Thunder,1610612760,68,119.2,106.6,0.56,0.593,0.116,0.374,0.482,3184,4416,77.2171039134494,82.57573579104962,77.2171039134494,82.57573579104962
2024-25,Orlando Magic,1610612753,41,108.9,109.1,0.51,0.55,0.147,0.318,0.445,2892,4142,78.99667171892945,82.17579228391423,78.99667171892945,82.17579228391423
2024-25,Philadelphia 76ers,1610612755,24,111.0,117.3,0.527,0.563,0.138,0.341,0.454,3050,4118,77.23233205949549,82.81950723869693,77.23233205949549,82.81950723869693
2024-25,Phoenix Suns,1610612756,36,114.7,117.7,0.561,0.595,0.142,0.378,0.478,3112,3963,77.55873239836595,82.04778771684884,77.55873239836595,82.04778771684884
2024-25,Portland Trail Blazers,1610612757,36,111.0,113.7,0.521,0.555,0.16,0.342,0.45,3095,4301,78.69733047112521,84.00465502670868,78.69733047112521,84.00465502670868
2024-25,Sacramento Kings,1610612758,40,115.9,115.3,0.548,0.582,0.133,0.357,0.478,2887,4498,78.38985258401324,81.9103212633496,78.38985258401324,81.9103212633496
2024-25,San Antonio Spurs,1610612759,34,113.5,116.3,0.544,0.575,0.138,0.357,0.465,3246,4116,77.75600755675973,82.17600849110674,77.75600755675973,82.17600849110674
2024-25,Toronto Raptors,1610612761,30,109.6,113.6,0.522,0.553,0.152,0.348,0.458,2786,4676,78.19959981260759,83.5478013455507,78.19959981260759,83.5478013455507
2024-25,Utah Jazz,1610612762,17,110.2,119.4,0.533,0.568,0.17,0.35,0.454,3267,4005,78.31813879018078,81.36296475982235,78.31813879018078,81.36296475982235
2024-25,Washington Wizards,1610612764,18,105.8,118.0,0.512,0.546,0.152,0.335,0.439,3210,4161,77.90607516439576,82.36683486819852,77.90607516439576,82.36683486819852
