Index,Player,Team,Position,Height,Wingspan,Length
1,Mo Bamba,,C,6'11.25",7'10",10.75
2,Talen Horton-Tucker,CHI,SG,6'2.5",7'1.25",10.75
3,Jalen Williams,OKC,SG,6'4.5",7'2.25",9.75
4,Isaiah Stewart,DET,C,6'7.25",7'4.75",9.5
5,Robert Williams III,POR,C,6'8",7'5.5",9.5
6,Udoka Azubuike,,C,6'10",7'7.25",9.25
7,Josh Okogie,CHA,SF,6'3",7'0",9
8,Bilal Coulibaly,WAS,SF,6'6",7'2.5",9
9,Frank Ntilikina,,PG,6'4",7'1",9
10,Kawhi Leonard,LAC,SF,6'6",7'3",9
11,Donovan Mitchell,CLE,SG,6'1.25",6'10",8.75
12,Reggie Jackson,,PG,6'2.5",6'11.25",8.75
13,Nassir Little,,SF,6'4.5",7'1.25",8.75
14,Andre Drummond,PHI,C,6'9.75",7'6.25",8.5
15,Wendell Moore Jr.,CHA,SG,6'4.25",7'0.75",8.5
16,Thomas Bryant,IND,C,6'9.5",7'6",8.5
17,Kelly Oubre Jr.,PHI,SF,6'5.75",7'2.25",8.5
18,Oscar Tshiebwe,UTA,C,6'7.25",7'3.5",8.25
19,Shake Milton,LAL,SG,6'4.5",7'0.75",8.25
20,DeAndre Jordan,DEN,C,6'9.75",7'6",8.25
21,Anthony Davis,DAL,C,6'9.25",7'5.5",8.25
22,Moses Moody,GSW,SG,6'4.5",7'0.75",8.25
23,Jarrett Allen,CLE,C,6'9",7'5.25",8.25
24,Jerami Grant,POR,PF,6'6.5",7'2.75",8.25
25,Victor Wembanyama,SAS,C,7'4",8'0",8
26,Jordan Walsh,BOS,SF,6'5.75",7'1.75",8
27,Keyontae Johnson,,SF,6'4",7'0",8
28,Brandon Ingram,TOR,SF,6'7",7'3",8
29,P.J. Washington,DAL,PF,6'6.5",7'2.5",8
30,Keita Bates-Diop,,PF,6'7.25",7'3.25",8
31,Rudy Gobert,MIN,C,7'0.5",7'8.5",8
32,OG Anunoby,NYK,SF,6'6.25",7'2.25",8
33,Chris Boucher,TOR,C,6'8",7'4",8
34,Jarace Walker,IND,PF,6'6.5",7'2.5",8
35,Miles McBride,NYK,PG,6'1",6'8.75",7.75
36,Wendell Carter Jr.,ORL,C,6'8.75",7'4.5",7.75
37,Aaron Holiday,HOU,PG,5'11.75",6'7.5",7.75
38,Norman Powell,LAC,SG,6'3",6'10.75",7.75
39,Jonathan Mogbo,TOR,PF,6'6.25",7'2",7.75
40,Terry Rozier,MIA,PG,6'0.5",6'8.25",7.75
41,Ryan Rollins,MIL,PG,6'2",6'9.75",7.75
42,Kevin Durant,PHX,PF,6'9",7'4.75",7.75
43,Scottie Barnes,TOR,SF,6'7",7'2.75",7.75
44,Bones Hyland,MIN,PG,6'2",6'9.5",7.5
45,Jaren Jackson Jr.,MEM,PF,6'9.75",7'5.25",7.5
46,MarJon Beauchamp,NYK,SG,6'5.25",7'0.75",7.5
47,Adem Bona,PHI,C,6'8.25",7'3.75",7.5
48,Kevon Looney,GSW,C,6'8",7'3.5",7.5
49,Draymond Green,GSW,PF,6'5.75",7'1.25",7.5
50,Robert Covington,,PF,6'6.25",7'1.75",7.5
51,Ryan Dunn,PHX,PF,6'6.25",7'1.5",7.25
52,Shaedon Sharpe,POR,SG,6'4.25",6'11.5",7.25
53,Kyle Anderson,MIA,PF,6'7.5",7'2.75",7.25
54,Jordan Miller,LAC,SF,6'4.5",6'11.75",7.25
55,Marcus Smart,WAS,PG,6'2",6'9.25",7.25
56,Mikal Bridges,NYK,SF,6'5.75",7'1",7.25
57,Tari Eason,HOU,PF,6'6.75",7'2",7.25
58,Eugene Omoruyi,,SF,6'6",7'1.25",7
59,Charles Bassey,SAS,C,6'9",7'3.5",7
60,Scoot Henderson,POR,PG,6'2",6'9",7
61,P.J. Tucker,NYK,PF,6'4.5",6'11.5",7
62,Anfernee Simons,POR,PG,6'2.25",6'9.25",7
63,Vince Williams Jr.,MEM,SG,6'4",6'11",7
64,Zach Edey,MEM,C,7'3.75",7'10.75",7
65,Naji Marshall,DAL,SF,6'5.75",7'0.75",7
66,Deandre Ayton,POR,C,6'11",7'6",7
67,Shai Gilgeous-Alexander,OKC,PG,6'4.5",6'11.5",7
68,Isaiah Mobley,,PF,6'8",7'3",7
69,Pascal Siakam,IND,PF,6'8.25",7'3.25",7
70,David Roddy,HOU,PF,6'4.5",6'11.5",7
71,Harrison Ingram,SAS,SF,6'5.25",7'0.25",7
72,De'Andre Hunter,CLE,SF,6'7",7'2",7
73,Eric Gordon,PHI,SG,6'2",6'9",7
74,JaVale McGee,,C,6'11",7'6",7
75,Saben Lee,,PG,6'2",6'9",7
76,Haywood Highsmith,MIA,SF,6'5",6'11.5",7
77,Lonnie Walker IV,PHI,SG,6'3.75",6'10.5",6.75
78,Trendon Watford,BKN,PF,6'7.5",7'2.25",6.75
79,Terry Taylor,SAC,PF,6'4.75",6'11.5",6.75
80,Ayo Dosunmu,CHI,SG,6'3.5",6'10.25",6.75
81,Malcolm Brogdon,WAS,PG,6'3.75",6'10.5",6.75
82,Mike Conley,MIN,PG,5'11",6'5.75",6.75
83,Thanasis Antetokounmpo,,PF,6'5.25",7'0",6.75
84,Jalen Duren,DET,C,6'10.25",7'5",6.75
85,JT Thor,WAS,PF,6'8.5",7'3.25",6.75
86,Dalen Terry,CHI,SG,6'6",7'0.75",6.75
87,Dennis Schröder,DET,PG,6'1",6'7.75",6.75
88,James Harden,LAC,SG,6'4",6'10.75",6.75
89,Collin Sexton,UTA,PG,6'0.5",6'7.25",6.75
90,Derrick Rose,,PG,6'1.5",6'8",6.5
91,Cody Williams,UTA,SF,6'6.5",7'1",6.5
92,Bruno Fernando,,C,6'8.75",7'3.25",6.5
93,Xavier Tillman,BOS,PF,6'7.5",7'2",6.5
94,Patrick Beverley,,PG,6'0.5",6'7",6.5
95,Jaylen Brown,BOS,SF,6'5.25",6'11.75",6.5
96,Mark Williams,CHA,C,7'0",7'6.5",6.5
97,Matisse Thybulle,POR,SF,6'5",6'11.5",6.5
98,Cameron Payne,NYK,PG,6'0.75",6'7.25",6.5
99,Christian Koloko,LAL,C,6'10.75",7'5.25",6.5
100,Clint Capela,ATL,C,6'10",7'4.5",6.5
101,Dillon Jones,OKC,SF,6'4.5",6'11",6.5
102,D'Angelo Russell,BKN,PG,6'3.25",6'9.75",6.5
103,Devin Carter,SAC,SG,6'2.25",6'8.75",6.5
